,airport,city,state,flights_out,flights_in,flights_total,passengers_out,passengers_in,passengers_total,lat,lng
451,NEW,"New Orleans, LA",LA,25,22,45,842,662,1468,29.95106579999999,-90.0715323
452,NFL,"Fallon, NV",NV,4,3,6,233,90,221,39.4748693,-118.7770407
453,NIP,"Jacksonville, FL",FL,74,62,128,2923,2644,5440,30.3321838,-81.65565099999999
454,NJK,"El Centro, CA",CA,4,3,6,93,75,75,32.792,-115.5630514
455,NKX,"San Diego, CA",CA,45,39,72,1641,1454,2783,32.715738,-117.1610838
456,NPA,"Pensacola, FL",FL,10,11,19,857,1392,2133,30.42130899999999,-87.2169149
457,NQA,"Memphis, TN",TN,34,27,56,1516,1519,2898,35.1495343,-90.0489801
458,NQX,"Key West, FL",FL,79,19,45,7942,1721,3965,24.5550593,-81.7799871
459,NY3,"Oneonta, NY",NY,3,2,4,14,10,20,42.4528571,-75.0637746
460,NZC,"Jacksonville, FL",FL,30,21,39,1,335,336,30.3321838,-81.65565099999999
461,NZY,"San Diego, CA",CA,171,139,300,11728,7450,18962,32.715738,-117.1610838
462,OAJ,"Jacksonville, NC",NC,37397,37558,74955,1065446,1150303,2215749,34.7540524,-77.4302414
463,OAK,"Oakland, CA",CA,984559,984695,1969254,81636772,81663005,163299777,37.8043637,-122.2711137
464,OCF,"Ocala, FL",FL,387,305,681,475,693,1168,29.1871986,-82.14009229999999
465,ODW,"Oak Harbor, WA",WA,6005,3401,9405,23463,17203,40664,48.28829469999999,-122.6484205
466,OFF,"Omaha, NE",NE,7,7,14,215,225,440,41.2565369,-95.9345034
467,OFK,"Norfolk, NE",NE,1441,1465,2906,2180,2337,4517,42.03272339999999,-97.41375529999999
468,OGD,"Ogden, UT",UT,171,126,262,4033,4106,7859,41.223,-111.9738304
469,OGG,"Kahului, HI",HI,505998,512499,1018497,47996017,48525447,96521464,20.8893351,-156.4729469
470,OGS,"Ogdensburg, NY",NY,4993,5325,10318,20632,20666,41298,44.6942291,-75.48633640000001
471,OH1,"Washington Court House, OH",OH,1,1,2,0,0,0,39.5364511,-83.4390843
472,OH2,"Bellefontaine, OH",OH,4,0,0,0,0,0,40.3611643,-83.7596557
473,OH3,"Chillicothe, OH",OH,1,0,0,0,0,0,39.3331197,-82.9824019
474,OH5,"Cincinnati, OH",OH,1,1,2,5,5,10,39.1031182,-84.5120196
475,OKC,"Oklahoma City, OK",OK,497091,500649,997740,32433739,32575297,65009036,35.4675602,-97.5164276
476,OKK,"Kokomo, IN",IN,148,127,263,65,38,103,40.486427,-86.13360329999999
477,OLM,"Olympia, WA",WA,2069,2073,4142,23288,14937,38225,47.0378741,-122.9006951
478,OLS,"Nogales, AZ",AZ,118,80,174,7,0,7,31.3403775,-110.9342532
479,OMA,"Omaha, NE",NE,439818,440195,880013,29198789,29358933,58557722,41.2565369,-95.9345034
480,OPF,"Miami, FL",FL,440,378,813,7534,6225,13759,25.7616798,-80.1917902
481,ORD,"Chicago, IL",IL,6908333,6896136,13804469,529014487,528644525,1057659012,41.8781136,-87.6297982
482,ORH,"Worcester, MA",MA,13904,13918,27817,472088,464141,936147,42.2625932,-71.8022934
483,ORL,"Orlando, FL",FL,12,7,15,308,74,160,28.5383355,-81.3792365
484,OSH,"Oshkosh, WI",WI,4942,4932,9858,68421,68493,136745,44.0247062,-88.5426136
485,OSU,"Columbus, OH",OH,3,2,4,26,3,27,39.9611755,-82.99879419999999
486,OTM,"Ottumwa, IA",IA,2,0,0,0,0,0,41.01602930000001,-92.40830220000001
487,OWA,"Owatonna, MN",MN,1,1,2,0,0,0,44.0855572,-93.2259349
488,OWB,"Owensboro, KY",KY,4192,4199,8386,31555,30449,61959,37.7719074,-87.1111676
489,OXR,"Oxnard, CA",CA,19567,19529,39096,222656,214778,437434,34.1975048,-119.1770516
490,PAH,"Paducah, KY",KY,24169,24239,48408,312066,311598,623664,37.0833893,-88.6000478
491,PAM,"Panama City, FL",FL,36,29,61,2324,1564,3495,30.1588129,-85.6602058
492,PBF,"Pine Bluff, AR",AR,1,1,2,0,0,0,34.2284312,-92.00319549999999
493,PBG,"Plattsburgh, NY",NY,4083,3875,7905,103183,97163,199973,44.6994873,-73.4529124
494,PBI,"West Palm Beach, FL",FL,545122,545137,1090259,55222045,54715155,109937200,26.7153424,-80.0533746
495,PDK,"Atlanta, GA",GA,68,69,131,75,68,141,33.7489954,-84.3879824
496,PDT,"Pendleton, OR",OR,22911,23802,46713,212285,202139,414424,45.672075,-118.7885967
497,PDX,"Portland, OR",OR,1527909,1538422,3066331,100424397,100430981,200855378,45.5122308,-122.6587185
498,PFN,"Panama City, FL",FL,68563,69589,138152,2542809,2549309,5092118,30.1588129,-85.6602058
499,PGD,"Punta Gorda, FL",FL,1038,1031,2069,92621,96463,189084,26.9297836,-82.0453664
500,PGV,"Greenville, NC",NC,15255,15283,30536,356911,354059,710824,35.612661,-77.3663538
501,PHL,"Philadelphia, PA",PA,2671971,2672195,5344166,185945257,186854042,372799299,39.9525839,-75.1652215
502,PHT,"Paris, TN",TN,2,1,2,0,0,0,36.3020023,-88.32671069999999
503,PHX,"Phoenix, AZ",AZ,3213074,3208843,6421917,295856355,295579096,591435451,33.4483771,-112.0740373
504,PIA,"Peoria, IL",IL,137954,140314,278268,3699429,3635060,7334489,40.6936488,-89.5889864
505,PIB,"Hattiesburg, MS",MS,5397,5440,10836,103469,103854,207174,31.3271189,-89.29033919999999
506,PIH,"Pocatello, ID",ID,25692,27060,52721,361611,362998,723828,42.8621042,-112.4506191
507,PIR,"Pierre, SD",SD,16666,16936,33602,157709,157502,315211,44.36678759999999,-100.3537522
508,PIT,"Pittsburgh, PA",PA,2196498,2193003,4389501,141086707,141220424,282307131,40.44062479999999,-79.9958864
509,PKB,"Parkersburg, WV",WV,15777,15622,31399,135312,131177,266489,39.2667418,-81.56151349999999
510,PMH,"Portsmouth, OH",OH,1,0,0,0,0,0,38.7317431,-82.9976742
511,PNC,"Ponca City, OK",OK,3290,3228,6518,5851,4334,10185,36.706981,-97.0855948
512,PNE,"Philadelphia, PA",PA,20,18,33,38,19,42,39.9525839,-75.1652215
513,PNS,"Pensacola, FL",FL,213051,213323,426374,11587347,11619551,23206898,30.42130899999999,-87.2169149
514,POB,"Fayetteville, NC",NC,244,206,433,12810,9676,21284,35.0526641,-78.87835849999999
515,POU,"Poughkeepsie, NY",NY,2,2,4,4,3,7,41.7003713,-73.9209701
516,PRB,"San Luis Obispo, CA",CA,145,12,44,754,662,1327,35.2827524,-120.6596156
517,PRC,"Prescott, AZ",AZ,9517,9276,18793,92721,93049,185770,34.5400242,-112.4685025
518,PSF,"Pittsfield, MA",MA,2,1,2,136,134,267,42.4500845,-73.2453824
519,PUB,"Pueblo, CO",CO,4237,4426,8658,120871,139582,260003,38.2544472,-104.6091409
520,PUC,"Price, UT",UT,2,2,4,0,0,0,39.5994095,-110.8107148
521,PUW,"Pullman, WA",WA,59617,59268,118885,986937,996126,1983063,46.7297771,-117.1817377
522,PVD,"Providence, RI",RI,528492,530289,1058781,38759528,38711857,77471385,41.8239891,-71.4128343
523,PVU,"Provo, UT",UT,93,91,184,7300,7123,14423,40.2338438,-111.6585337
524,PWA,"Oklahoma City, OK",OK,2,1,2,19,2,3,35.4675602,-97.5164276
525,PWK,"Chicago, IL",IL,88,51,105,43,42,66,41.8781136,-87.6297982
526,PWM,"Portland, ME",ME,254536,254516,509052,11939363,11730650,23670013,43.6590993,-70.2568189
527,PWT,"Bremerton, WA",WA,126,161,286,489,610,1095,47.5650067,-122.6269768
528,RAP,"Rapid City, SD",SD,46958,47615,94573,2335425,2383295,4718720,44.0805434,-103.2310149
529,RBG,"Roseburg, OR",OR,4358,3060,7418,0,0,0,43.216505,-123.3417381
530,RCA,"Rapid City, SD",SD,180,43,93,13179,2750,6058,44.0805434,-103.2310149
531,RDD,"Redding, CA",CA,48146,47996,96142,943418,948130,1891548,40.5865396,-122.3916754
532,RDG,"Reading, PA",PA,9968,9886,19846,87401,83812,170266,40.3356483,-75.9268747
533,RDM,"Bend, OR",OR,108734,108591,217325,2359393,2346077,4705470,44.0581728,-121.3153096
534,RDU,"Raleigh, NC",NC,1203191,1204156,2407347,79180350,78686430,157866780,35.7795897,-78.6381787
535,RFD,"Rockford, IL",IL,66845,64952,131794,914791,881351,1795859,42.2711311,-89.0939952
536,RIC,"Richmond, VA",VA,481216,485859,967075,24247980,24289268,48537248,37.5407246,-77.4360481
537,RID,"Richmond, IN",IN,1,0,0,0,0,0,39.8289369,-84.8902382
538,RIV,"Riverside, CA",CA,4899,4846,9720,13461,10406,22247,33.9806005,-117.3754942
539,RIW,"Riverton, WY",WY,1634,157,1309,1635,1980,3418,43.024673,-108.3806054
540,RKD,"Rockland, ME",ME,9550,9736,19286,44154,46011,90165,44.1036914,-69.1089293
541,RKS,"Rock Springs, WY",WY,3804,5424,9225,20051,21198,41112,41.58746439999999,-109.2029043
542,RMG,"Rome, GA",GA,2,3,5,0,0,0,34.257038,-85.1646726
543,RND,"San Antonio, TX",TX,11,13,24,885,964,1849,29.4241219,-98.49362819999999
544,RNO,"Reno, NV",NV,549934,551037,1100971,46409882,46415860,92825742,39.5296329,-119.8138027
545,ROA,"Roanoke, VA",VA,168661,170593,339254,4904497,4918543,9823040,37.2709704,-79.9414266
546,ROC,"Rochester, NY",NY,487638,488301,975939,23999992,23930458,47930450,43.15657789999999,-77.6088465
547,ROW,"Roswell, NM",NM,18428,19295,37718,178018,182599,359839,33.3942655,-104.5230242
548,RST,"Rochester, MN",MN,88053,88079,176132,3024826,2984675,6009501,44.0121221,-92.4801989
549,RUI,"Ruidoso, NM",NM,252,294,545,839,1006,1836,33.3672525,-105.6588485
550,RUT,"Rutland, VT",VT,7639,7443,15082,21788,22367,44155,43.6106237,-72.9726065
551,RWI,"Rocky Mount, NC",NC,443,238,643,976,988,1964,35.9382103,-77.7905339
552,S27,"Kalispell, MT",MT,3,4,7,0,0,0,48.1919889,-114.316813
553,SAC,"Sacramento, CA",CA,3,2,4,14,10,20,38.5815719,-121.4943996
554,SAD,"Safford, AZ",AZ,5,1,2,45,0,0,32.8339546,-109.70758
555,SAF,"Santa Fe, NM",NM,528,488,1000,10297,10341,20497,35.6869752,-105.937799
556,SAN,"San Diego, CA",CA,1487549,1491090,2978639,133166483,132590827,265757310,32.715738,-117.1610838
557,SAT,"San Antonio, TX",TX,780459,781602,1562061,64688447,64964876,129653323,29.4241219,-98.49362819999999
558,SAV,"Savannah, GA",GA,224086,225594,449680,14686494,14640412,29326906,32.0808989,-81.091203
559,SAW,"Marquette, MI",MI,5,5,10,208,273,481,46.5436199,-87.3953713
560,SBA,"Santa Barbara, CA",CA,159128,159400,318528,4294773,4246062,8540835,34.4208305,-119.6981901
561,SBM,"Sheboygan, WI",WI,12,2,4,0,0,0,43.7508284,-87.71453
562,SBN,"South Bend, IN",IN,227608,227943,455551,7352014,7239742,14591756,41.6763545,-86.25198979999999
563,SBP,"San Luis Obispo, CA",CA,63924,63331,127119,1408642,1376103,2783509,35.2827524,-120.6596156
564,SBY,"Salisbury, MD",MD,23433,23122,46555,422092,414132,836224,38.3606736,-75.5993692
565,SCE,"State College, PA",PA,43959,43973,87932,944221,931162,1875383,40.7933949,-77.8600012
566,SCF,"Phoenix, AZ",AZ,32,24,48,117,88,168,33.4483771,-112.0740373
567,SCK,"Stockton, CA",CA,9920,9881,19799,201590,196690,398175,37.9577016,-121.2907796
568,SDM,"San Diego, CA",CA,113,84,174,65,17,36,32.715738,-117.1610838
569,SEA,"Seattle, WA",WA,2570354,2587972,5158326,212352329,211922810,424275139,47.6062095,-122.3320708
570,SEE,"San Diego, CA",CA,5,5,10,76,74,150,32.715738,-117.1610838
571,SEM,"Selma, AL",AL,1,1,2,0,0,0,32.4073589,-87.02110069999999
572,SER,"Seymour, IN",IN,76,31,64,22,0,0,38.9592201,-85.8902547
573,SFB,"Orlando, FL",FL,21423,21573,42996,2507204,2569327,5076531,28.5383355,-81.3792365
574,SFF,"Spokane, WA",WA,14,86,100,0,0,0,47.6587802,-117.4260465
575,SFO,"San Francisco, CA",CA,2491619,2494426,4986045,243777053,242280381,486057434,37.7749295,-122.4194155
576,SGF,"Springfield, MO",MO,153838,155080,308918,4914959,4825815,9740774,37.2089572,-93.29229889999999
577,SGH,"Springfield, OH",OH,4,3,6,93,93,186,39.9242266,-83.8088171
578,SGU,"St. George, UT",UT,25087,25126,50213,347377,349361,696738,37.0965278,-113.5684164
579,SHD,"Staunton, VA",VA,10011,10028,20039,58932,59365,118297,38.149576,-79.0716958
580,SHN,"Shelton, WA",WA,2,1,2,297,274,568,47.2150945,-123.1007066
581,SHR,"Sheridan, WY",WY,6058,3549,9607,42218,16295,58513,44.7971939,-106.9561791
582,SHV,"Shreveport, LA",LA,193926,196659,390585,6435338,6371064,12806402,32.5251516,-93.7501789
583,SIK,"Sikeston, MO",MO,1,1,2,0,0,0,36.876719,-89.5878579
584,SJC,"San Jose, CA",CA,969528,969211,1938739,80442678,80619607,161062285,37.3382082,-121.8863286
585,SJT,"San Angelo, TX",TX,49302,49893,99195,860298,853312,1713610,31.4637723,-100.4370375
586,SKA,"Spokane, WA",WA,11,5,11,693,115,171,47.6587802,-117.4260465
587,SKF,"San Antonio, TX",TX,22,23,36,683,1821,2240,29.4241219,-98.49362819999999
588,SKY,"Sandusky, OH",OH,26,10,25,0,0,0,41.4561754,-82.71168209999999
589,SLB,"Storm Lake, IA",IA,1,1,2,4,0,4,42.6430359,-95.2019399
590,SLC,"Salt Lake City, UT",UT,1777334,1769604,3546938,152044176,152120316,304164492,40.7607793,-111.8910474
591,SLE,"Salem, OR",OR,5983,3188,7901,47057,49869,96926,44.9428975,-123.0350963
592,SLN,"Salina, KS",KS,7202,7176,14374,31286,30996,62280,38.8402805,-97.61142369999999
593,SMF,"Sacramento, CA",CA,704468,705388,1409856,58406779,58518073,116924852,38.5815719,-121.4943996
594,SNA,"Santa Ana, CA",CA,799969,801921,1601890,70464061,70692392,141156453,33.7454725,-117.867653
595,SOW,"Show Low, AZ",AZ,5638,5667,11305,30112,28461,58573,34.2542084,-110.0298327
596,SPA,"Spartanburg, SC",SC,2,1,2,0,0,0,34.9495672,-81.9320482
597,SPI,"Springfield, IL",IL,82843,83206,166047,1370488,1339772,2709958,39.78172130000001,-89.6501481
598,SPS,"Wichita Falls, TX",TX,48398,48491,96887,834137,737218,1571029,33.9137085,-98.4933873
599,SQI,"Sterling, IL",IL,2,1,3,0,0,0,41.788642,-89.69621939999999
600,SRC,"Searcy, AR",AR,2,1,2,0,0,0,35.2468204,-91.73368459999999
601,SRW,"Salisbury, NC",NC,2,1,2,135,0,0,35.6709727,-80.4742261
602,SSC,"Sumter, SC",SC,43,46,83,1824,1915,3465,33.9204354,-80.3414693
603,SSI,"Brunswick, GA",GA,1,0,0,12,0,0,31.1499528,-81.49148939999999
604,STC,"St. Cloud, MN",MN,24804,24909,49713,366722,356436,723158,45.5579451,-94.16324039999999
605,STF,"Starkville, MS",MS,1,1,2,22,22,44,33.4503998,-88.81838719999999
606,STJ,"St. Joseph, MO",MO,26,24,49,899,892,1791,39.7674578,-94.84668099999999
607,STL,"St. Louis, MO",MO,3181037,3177574,6358611,204487005,205022130,409509135,38.6270025,-90.19940419999999
608,STP,"Minneapolis, MN",MN,723,734,1455,6388,6088,12475,44.977753,-93.2650108
609,STS,"Santa Rosa, CA",CA,16949,13891,29080,375102,372028,747130,38.440429,-122.7140548
610,SUM,"Sumter, SC",SC,5,3,6,0,0,0,33.9204354,-80.3414693
611,SUS,"St. Louis, MO",MO,479,473,933,6569,6818,13387,38.6270025,-90.19940419999999
612,SUX,"Sioux City, IA",IA,45812,45591,91403,1070685,1059494,2130179,42.4963416,-96.40494079999999
613,SVC,"Silver City, NM",NM,6212,6190,12402,19909,19871,39780,32.770075,-108.280326
614,SVH,"Statesville, NC",NC,4,1,2,0,0,0,35.7826363,-80.8872959
615,SVN,"Savannah, GA",GA,250,305,532,10008,12316,21089,32.0808989,-81.091203
616,SWO,"Stillwater, OK",OK,154,151,303,11093,10210,20988,36.1156071,-97.0583681
617,SWW,"Sweetwater, TX",TX,1,1,2,0,0,0,32.4709519,-100.4059384
618,SYI,"Shelbyville, TN",TN,8,6,11,0,0,0,35.483406,-86.46027169999999
619,SYR,"Syracuse, NY",NY,426173,425945,852118,19899033,19773274,39672307,43.0481221,-76.14742439999999
620,SZL,"Warrensburg, MO",MO,21,19,38,850,689,1343,38.7627893,-93.73604979999999
621,TBN,"Fort Leonard Wood, MO",MO,12800,12852,25652,82876,90233,173109,37.7252315,-92.1646722
622,TBR,"Statesboro, GA",GA,1,1,2,0,0,0,32.4487876,-81.7831674
623,TCL,"Tuscaloosa, AL",AL,333,417,747,11888,8722,20441,33.2098407,-87.56917349999999
624,TCM,"Tacoma, WA",WA,252,248,492,12875,16206,28625,47.2528768,-122.4442906
625,TDZ,"Toledo, OH",OH,5,4,6,0,0,0,41.6528052,-83.5378674
626,THA,"Tullahoma, TN",TN,3,3,5,0,0,0,35.3620235,-86.20943419999999
627,THV,"York, PA",PA,6,1,2,9,2,4,39.9625984,-76.727745
628,TIK,"Oklahoma City, OK",OK,23,15,27,157,136,235,35.4675602,-97.5164276
629,TIW,"Tacoma, WA",WA,2,1,2,19,9,18,47.2528768,-122.4442906
630,TKF,"Truckee, CA",CA,1,0,0,3,0,0,39.327962,-120.1832533
631,TLH,"Tallahassee, FL",FL,185473,186890,372363,7491260,7421188,14912448,30.4382559,-84.28073289999999
632,TMA,"Tifton, GA",GA,2,0,0,0,0,0,31.4504629,-83.5084973
633,TMB,"Miami, FL",FL,40,33,69,8,0,0,25.7616798,-80.1917902
634,TN3,"Lewisburg, TN",TN,3,1,2,0,0,0,35.4492404,-86.7888887
635,TN6,"Dyersburg, TN",TN,14,3,7,0,0,0,36.0345159,-89.38562809999999
636,TNT,"Miami, FL",FL,31,22,44,54,28,82,25.7616798,-80.1917902
637,TOL,"Toledo, OH",OH,163114,163300,326414,4451933,4375197,8827130,41.6528052,-83.5378674
638,TPA,"Tampa, FL",FL,1422031,1424352,2846383,134633217,134022885,268656102,27.950575,-82.4571776
639,TSM,"Taos, NM",NM,1466,1447,2913,4723,4027,8750,36.4072485,-105.5730665
640,TSS,"New York, NY",NY,4411,3869,8266,9810,4173,13983,40.7127753,-74.0059728
641,TTN,"Trenton, NJ",NJ,10092,10169,20255,372002,375888,747840,40.2205824,-74.759717
642,TUL,"Tulsa, OK",OK,495041,494564,989605,30947127,30979896,61927023,36.1539816,-95.99277500000001
643,TUP,"Tupelo, MS",MS,10560,10583,21141,188003,180699,368541,34.2576066,-88.7033859
644,TUS,"Tucson, AZ",AZ,397618,398589,796207,31489699,31247347,62737046,32.2226066,-110.9747108
645,TVC,"Traverse City, MI",MI,84739,84895,169634,3023318,2980656,6003974,44.7630567,-85.62063169999999
646,TWF,"Twin Falls, ID",ID,17913,19663,37575,275239,286226,561451,42.5558381,-114.4700518
647,TX6,"Austin, TX",TX,1,1,2,24,23,47,30.267153,-97.7430608
648,TYR,"Tyler, TX",TX,68518,69322,137840,1182238,1161894,2344132,32.3512601,-95.30106239999999
649,TYS,"Knoxville, TN",TN,300198,301259,601457,13187681,13009220,26196901,35.9606384,-83.9207392
650,UBS,"Columbus, MS",MS,1,1,2,0,29,29,33.4956744,-88.4272627
651,UCA,"Utica, NY",NY,2644,2640,5278,72351,71774,143716,43.100903,-75.232664
652,UCY,"Union City, TN",TN,2,1,2,0,0,0,36.4242303,-89.0570096
653,UIN,"Quincy, IL",IL,20165,20299,40464,145862,140367,286229,39.9356016,-91.4098726
654,UKI,"Ukiah, CA",CA,2557,2161,4718,0,0,0,39.1501709,-123.2077831
655,UVA,"Uvalde, TX",TX,4,4,8,0,0,0,29.20968359999999,-99.7861679
656,VAD,"Valdosta, GA",GA,8,7,14,134,575,709,30.8327022,-83.2784851
657,VCT,"Victoria, TX",TX,16887,16899,33786,218124,208584,426708,28.8052674,-97.0035982
658,VEL,"Vernal, UT",UT,1867,1782,3631,7712,6476,14087,40.4555157,-109.5287479
659,VGT,"Las Vegas, NV",NV,3560,3528,7087,37452,37927,75349,36.1699412,-115.1398296
660,VIS,"Visalia, CA",CA,8126,9339,17465,19003,18716,37719,36.3302284,-119.2920585
661,VLD,"Valdosta, GA",GA,26057,26161,52218,530328,529303,1059631,30.8327022,-83.2784851
662,VWD,"Hanford, CA",CA,1,1,2,0,0,0,36.3274502,-119.6456844
663,VWH,"Midland, TX",TX,1,1,2,6,5,11,31.9973456,-102.0779146
664,VWL,"Bemidji, MN",MN,1741,1658,3399,0,0,0,47.471573,-94.8826861
665,VWT,"Americus, GA",GA,3,0,0,0,0,0,32.0723861,-84.23268759999999
666,WBR,"Big Rapids, MI",MI,1,1,2,0,0,0,43.6980782,-85.4836557
667,WDG,"Enid, OK",OK,3210,3293,6503,4805,8282,13087,36.3955891,-97.8783911
668,WFB,"Ketchikan, AK",AK,14663,15418,30081,32667,37177,69844,55.34222219999999,-131.6461112
669,WGO,"Winchester, VA",VA,49,29,62,3,2,3,39.1856597,-78.1633341
670,WMH,"Mountain Home, AR",AR,1,1,2,0,0,0,36.3353949,-92.381346
671,WQM,"Lake Charles, LA",LA,5,2,4,67,0,67,30.2265949,-93.2173758
672,WRB,"Macon, GA",GA,18,11,23,224,349,573,32.8406946,-83.6324022
673,WTC,"New York, NY",NY,13,0,0,0,0,0,40.7127753,-74.0059728
674,WV1,"Charleston, WV",WV,2,1,2,0,0,0,38.3498195,-81.6326234
675,XNA,"Fayetteville, AR",AR,158250,157883,315199,4968761,4951192,9893228,36.082156,-94.17185420000001
676,XXW,"Lake City, FL",FL,17,12,25,0,1,1,30.1896756,-82.6392899
677,YIP,"Detroit, MI",MI,11496,10128,21597,15613,14303,29916,42.331427,-83.0457538
678,YKM,"Yakima, WA",WA,79764,81063,160827,1302418,1290801,2593219,46.6020711,-120.5058987
679,YKN,"Yankton, SD",SD,2,1,2,0,0,0,42.87110879999999,-97.39728129999999
680,YNG,"Youngstown, OH",OH,19009,19129,38138,357358,353751,711109,41.0997803,-80.6495194
681,YUM,"Yuma, AZ",AZ,43794,43578,87368,672601,667352,1339857,32.6926512,-114.6276916
682,ZZV,"Zanesville, OH",OH,11,6,12,0,0,0,39.9403453,-82.0131924
