1B1,42.2528649,-73.790959
ABE,40.6022939,-75.4714098
ABI,32.4487364,-99.7331439
ABQ,35.0843859,-106.650422
ABR,45.4646985,-98.4864829
ABY,31.5785074,-84.155741
ACT,31.549333,-97.1466695
ACV,40.8020712,-124.1636729
ACY,39.3642834,-74.4229266
ADM,34.1742611,-97.1436254
ADQ,57.79,-152.4072221
ADS,32.7766642,-96.7969879
AEX,31.3112936,-92.4451371
AFW,32.7766642,-96.7969879
AGC,40.4406248,-79.9958864
AGS,33.4734978,-82.0105148
AHN,33.9519347,-83.357567
AID,40.1053196,-85.6802541
AIY,39.3642834,-74.4229266
ALB,42.6525793,-73.7562317
ALM,32.8995325,-105.960265
ALO,42.492786,-92.3425775
ALW,46.0645809,-118.3430208
AMA,35.2219971,-101.8312969
AMK,37.27528,-107.8800667
AMW,42.0307812,-93.6319131
ANB,33.6598257,-85.8316318
ANC,61.2180556,-149.9002778
AND,34.5034394,-82.6501332
AOH,40.742551,-84.1052256
AOO,40.5186809,-78.3947359
APC,38.5024689,-122.2653887
APF,26.1420358,-81.7948103
APN,45.0616794,-83.4327528
AR1,35.2784173,-93.1337856
ARA,30.0035365,-91.8187285
ART,43.9747838,-75.9107565
ASL,32.5448714,-94.3674184
ASN,33.4359416,-86.1058048
AST,46.1878841,-123.8312534
ATL,33.7489954,-84.3879824
ATO,39.3292396,-82.1012554
ATW,44.2619309,-88.4153847
ATY,44.8994088,-97.1150732
AUG,44.3106241,-69.7794897
AUO,32.6098566,-85.4807825
AUS,30.267153,-97.7430608
AVL,35.5950581,-82.5514869
AVP,41.408969,-75.6624122
AXN,45.8848164,-95.3776663
AXV,40.5678265,-84.1935594
AZA,33.4483771,-112.0740373
AZO,42.2917069,-85.5872286
BAD,32.5251516,-93.7501789
BBC,28.9827565,-95.969402
BDL,41.7658043,-72.6733723
BDR,41.1792258,-73.1894384
BFD,41.9564953,-78.649163
BFF,41.8666341,-103.6671662
BFI,47.6062095,-122.3320708
BFL,35.3732921,-119.0187125
BFM,30.6953657,-88.0398912
BFR,38.8611619,-86.4872149
BGD,35.6678203,-101.3973876
BGM,42.0986867,-75.9179738
BGR,44.8016128,-68.7712257
BGS,32.2503979,-101.4787355
BHM,33.5185892,-86.8103567
BIF,31.7618778,-106.4850217
BIH,37.3614238,-118.3996636
BIL,45.7832856,-108.5006904
BIS,46.8083268,-100.7837392
BJI,47.471573,-94.8826861
BJJ,40.8050565,-81.935143
BKG,36.6436731,-93.2185144
BKL,41.49932,-81.6943605
BKW,37.7781702,-81.1881557
BKX,44.3113573,-96.7983877
BLI,48.7519112,-122.4786854
BMC,41.5102129,-112.0155015
BMG,39.165325,-86.5263857
BMI,40.4842027,-88.9936873
BNA,36.1626638,-86.7816016
BOK,42.0526114,-124.2839819
BOS,42.3600825,-71.0588801
BPT,30.080174,-94.1265562
BQK,31.1499528,-81.4914894
BRD,46.3526733,-94.2020084
BRL,40.8076529,-91.1128901
BRO,25.9017472,-97.4974838
BSM,30.267153,-97.7430608
BTL,42.3211522,-85.1797142
BTM,46.0038232,-112.5347775
BTR,30.4514677,-91.1871466
BTV,44.4758825,-73.212072
BUF,42.8864468,-78.8783689
BVX,35.769799,-91.6409721
BWD,31.7093197,-98.9911611
BWG,36.9685219,-86.4808043
BWI,39.2903848,-76.6121893
BYH,35.9272953,-89.9189753
BZN,45.6769979,-111.0429339
CAD,44.2519526,-85.4011619
CAE,34.0007104,-81.0348144
CAK,41.0814447,-81.5190053
CBE,39.6528654,-78.7625185
CBM,33.4956744,-88.4272627
CDC,37.6774769,-113.0618931
CEC,41.7557501,-124.2025913
CEV,39.6411589,-85.1410748
CGF,41.49932,-81.6943605
CGI,37.3058839,-89.5181476
CGX,41.8781136,-87.6297982
CHA,35.0456297,-85.3096801
CHI,41.8781136,-87.6297982
CHO,38.0293059,-78.4766781
CHS,32.7764749,-79.9310512
CIC,39.7284944,-121.8374777
CID,41.9778795,-91.6656232
CKB,39.2806451,-80.3445341
CLE,41.49932,-81.6943605
CLL,30.627977,-96.3344068
CLM,48.118146,-123.4307413
CLT,35.2270869,-80.8431267
CLU,39.2014404,-85.9213796
CMH,39.9611755,-82.9987942
CMI,40.1164204,-88.2433829
CNM,32.4206736,-104.2288375
CNW,31.549333,-97.1466695
COS,38.8338816,-104.8213634
COU,38.9517053,-92.3340724
CPR,42.8500769,-106.3251749
CPS,38.6270025,-90.1994042
CRE,33.6890603,-78.8866943
CRP,27.8005828,-97.396381
CRS,32.0954304,-96.4688727
CRW,38.3498195,-81.6326234
CSG,32.4609764,-84.9877094
CSV,35.9489566,-85.0269014
CUB,34.0007104,-81.0348144
CVG,39.1031182,-84.5120196
CVN,34.4047987,-103.2052272
CVO,44.6365107,-123.1059282
CVS,34.4047987,-103.2052272
CWA,44.9591352,-89.6301221
CWI,41.8444735,-90.1887379
CYS,41.1399814,-104.8202462
DAL,32.7766642,-96.7969879
DAY,39.7589478,-84.1916069
DBQ,42.5005583,-90.6645718
DCA,38.9071923,-77.0368707
DCU,34.6059253,-86.9833417
DDC,37.7527982,-100.0170787
DEC,39.8403147,-88.9548001
DET,42.331427,-83.0457538
DFW,32.7766642,-96.7969879
DHN,31.2232313,-85.3904888
DIK,46.8791756,-102.7896242
DLF,29.3708857,-100.8958674
DLH,46.7866719,-92.1004852
DMA,32.2226066,-110.9747108
DMO,38.7044609,-93.2282613
DNE,32.7766642,-96.7969879
DNN,34.7698021,-84.9702228
DNV,40.124481,-87.6300207
DOV,39.158168,-75.5243682
DPA,41.8781136,-87.6297982
DQC,27.816415,-80.4706078
DQF,33.4483771,-112.0740373
DQU,55.3422222,-131.6461112
DRO,37.27528,-107.8800667
DRT,29.3708857,-100.8958674
DSM,41.5868353,-93.6249593
DTW,42.331427,-83.0457538
DUC,34.5023028,-97.9578128
DVN,41.5236437,-90.5776367
DVT,33.4483771,-112.0740373
DYS,32.4487364,-99.7331439
EAR,40.6993303,-99.0816784
EAT,47.4234599,-120.3103494
EAU,44.811349,-91.4984941
ECG,36.2946008,-76.2510461
EDF,61.2180556,-149.9002778
EFD,29.7604267,-95.3698028
EGP,28.7091433,-100.4995214
EIL,64.8377778,-147.7163888
EKA,40.8020712,-124.1636729
EKI,41.6819935,-85.9766671
EKO,40.8324211,-115.7631232
EKX,37.7030646,-85.8649408
ELD,33.20763,-92.6662674
ELM,42.0897965,-76.8077338
ELN,46.9965144,-120.5478474
ELP,31.7618778,-106.4850217
END,36.3955891,-97.8783911
ERI,42.1292241,-80.085059
ESC,45.7452466,-87.0645801
ESF,31.3112936,-92.4451371
EUG,44.0520691,-123.0867536
EVV,37.9715592,-87.5710898
EWN,35.108493,-77.0441143
EWR,40.735657,-74.1723667
EYW,24.5550593,-81.7799871
FAI,64.8377778,-147.7163888
FAR,46.8771863,-96.7898034
FAT,36.7377981,-119.7871247
FAY,35.0526641,-78.8783585
FBK,64.8377778,-147.7163888
FCA,48.1919889,-114.316813
FCH,36.7377981,-119.7871247
FDY,41.04422,-83.6499321
FEP,42.2966861,-89.6212271
FET,41.4333909,-96.4981467
FFM,46.2835212,-96.0777887
FFO,39.7589478,-84.1916069
FFT,38.2009055,-84.8732835
FLG,35.1982836,-111.651302
FLL,26.1224386,-80.1373174
FLO,34.1954331,-79.7625625
FMN,36.7280583,-108.2186856
FNT,43.0125274,-83.6874562
FOD,42.4974694,-94.1680158
FOE,39.0473451,-95.6751576
FSD,43.5473028,-96.728333
FSM,35.3859242,-94.3985475
FTW,32.7766642,-96.7969879
FTY,33.7489954,-84.3879824
FVS,43.8231096,-111.7924237
FWA,41.079273,-85.1393513
FWH,32.7766642,-96.7969879
FXE,26.1224386,-80.1373174
FYV,36.082156,-94.1718542
GAD,34.014264,-86.0066386
GBD,38.3644567,-98.7648073
GBG,40.9478158,-90.3712395
GCC,44.2910915,-105.5022205
GCK,37.9716898,-100.8726618
GCY,36.1631574,-82.8309861
GDC,34.8526176,-82.3940104
GEG,47.6587802,-117.4260465
GFK,47.9252568,-97.0328547
GFL,43.3095164,-73.6440058
GGE,33.376834,-79.2944964
GGG,32.5007037,-94.7404891
GJT,39.0638705,-108.5506486
GLH,33.399661,-91.0377029
GLW,36.9958839,-85.9119215
GMU,34.8526176,-82.3940104
GNV,29.6516344,-82.3248262
GPT,30.3674198,-89.0928155
GRB,44.5133188,-88.0132958
GRD,34.1954001,-82.1617883
GRF,47.2528768,-122.4442906
GRI,40.9263957,-98.3420118
GRK,31.1171194,-97.7277959
GRR,42.9633599,-85.6680863
GSB,35.3848841,-77.9927651
GSO,36.0726354,-79.7919754
GSP,34.8526176,-82.3940104
GTF,47.5052849,-111.3007715
GTR,33.4956744,-88.4272627
GUP,35.5280783,-108.7425843
GUS,40.7536528,-86.0688811
GVL,34.2978794,-83.8240663
GWO,33.5162315,-90.1795281
GYY,41.6020403,-87.3371523
HBG,31.3271189,-89.2903392
HCA,32.2503979,-101.4787355
HFD,41.7658043,-72.6733723
HGR,39.6417629,-77.7199932
HIF,41.223,-111.9738304
HII,34.483901,-114.3224548
HIK,21.3069444,-157.8583333
HKS,32.2987573,-90.1848103
HKY,35.7344538,-81.3444573
HLG,40.0639616,-80.7209149
HLM,42.7875235,-86.1089301
HLN,46.5891452,-112.0391057
HMN,32.8995325,-105.960265
HNL,21.3069444,-157.8583333
HOB,32.7026116,-103.1360403
HON,44.3633173,-98.2142572
HOT,34.5037004,-93.0551795
HOU,29.7604267,-95.3698028
HRO,36.2297936,-93.1076765
HSH,36.1699412,-115.1398296
HSI,40.5862583,-98.3898726
HSV,34.7303688,-86.5861037
HUF,39.4667034,-87.4139092
HUM,29.5957696,-90.7195348
HUT,38.0608445,-97.9297743
HVN,41.308274,-72.9278835
HVR,48.549999,-109.6840887
HYS,38.8791783,-99.3267702
IAB,37.6871761,-97.330053
IAD,38.9071923,-77.0368707
IAH,29.7604267,-95.3698028
ICT,37.6871761,-97.330053
IDA,43.5427278,-111.8431068
II2,41.8781136,-87.6297982
IKK,41.1200325,-87.8611531
ILE,31.1171194,-97.7277959
ILG,39.744655,-75.5483909
ILM,34.2103894,-77.8868117
ILN,39.4453393,-83.8285375
IMT,45.8202334,-88.0659603
IN1,41.3669942,-85.0588575
IND,39.768403,-86.158068
IPL,32.792,-115.5630514
IPT,41.2411897,-77.0010786
IRK,40.1947539,-92.5832496
IRS,41.799217,-85.4191482
ISM,28.5383355,-81.3792365
ISN,48.1469683,-103.6179745
ISO,35.2626635,-77.5816353
ITH,42.4439614,-76.5018807
ITO,19.7241106,-155.0868193
JAC,43.4799291,-110.7624282
JAN,32.2987573,-90.1848103
JAX,30.3321838,-81.655651
JBR,35.8422967,-90.704279
JEF,38.5767017,-92.1735164
JFK,40.7127753,-74.0059728
JHW,42.0970023,-79.2353259
JLN,37.0842271,-94.513281
JMS,46.9105438,-98.7084357
JNU,58.3019444,-134.4197221
JRA,40.7127753,-74.0059728
JRB,40.7127753,-74.0059728
JSE,58.3019444,-134.4197221
JST,40.3267407,-78.9219698
JXN,42.1764362,-84.3542049
JZU,42.8781345,-73.1967741
KDK,57.79,-152.4072221
KTN,55.3422222,-131.6461112
KY1,37.6456329,-84.7721702
KY3,38.0564679,-83.9432556
KY5,37.3281005,-87.4988882
LAF,40.4167022,-86.8752869
LAL,28.0394654,-81.9498042
LAM,35.8800364,-106.3031138
LAN,42.732535,-84.5555347
LAR,41.3113669,-105.5911007
LAS,36.1699412,-115.1398296
LAW,34.6035669,-98.3959291
LAX,34.0522342,-118.2436849
LBB,33.5778631,-101.8551665
LBF,41.1402759,-100.7601454
LBL,37.0430812,-100.920999
LCH,30.2265949,-93.2173758
LCI,43.5278546,-71.4703509
LCK,39.9611755,-82.9987942
LEW,44.100351,-70.2147764
LEX,38.0405837,-84.5037164
LFK,31.6035129,-94.6554874
LFT,30.2240897,-92.0198427
LGA,40.7127753,-74.0059728
LGD,45.3245771,-118.0877188
LGU,41.7369803,-111.8338359
LHV,41.1370133,-77.4469263
LIT,34.7464809,-92.2895948
LKE,47.6062095,-122.3320708
LMT,42.224867,-121.7816704
LNK,40.813616,-96.7025955
LNS,40.0466571,-76.1783739
LOZ,37.1289771,-84.0832646
LRD,27.5035613,-99.5075519
LRU,32.3199396,-106.7636538
LSD,38.0405837,-84.5037164
LSE,43.8137751,-91.2519017
LSF,32.4609764,-84.9877094
LSV,36.1699412,-115.1398296
LTS,34.637765,-99.3340442
LUF,33.4483771,-112.0740373
LUK,39.1031182,-84.5120196
LUL,31.6940509,-89.1306124
LWC,38.9716689,-95.2352501
LWF,35.2423023,-87.3347389
LWS,46.4004089,-117.001189
LXN,40.7808398,-99.7415045
LYH,37.4137536,-79.1422464
MAE,36.9613356,-120.0607176
MAF,31.9973456,-102.0779146
MBS,43.4194699,-83.9508068
MCC,38.5815719,-121.4943996
MCE,37.3021632,-120.4829677
MCF,27.950575,-82.4571776
MCI,39.0997265,-94.5785667
MCN,32.8406946,-83.6324022
MCO,28.5383355,-81.3792365
MCW,43.1535728,-93.2010367
MDD,31.9973456,-102.0779146
MDH,37.7272727,-89.2167501
MDT,40.2731911,-76.8867008
MDW,41.8781136,-87.6297982
MEI,32.3643098,-88.703656
MEM,35.1495343,-90.0489801
MFD,40.75839,-82.5154471
MFR,42.3265152,-122.8755949
MGM,32.3792233,-86.3077368
MGW,39.629526,-79.9558968
MGY,39.7589478,-84.1916069
MHE,43.7094283,-98.0297992
MHK,39.1836082,-96.5716694
MHL,39.1230777,-93.1968704
MHR,38.5815719,-121.4943996
MHT,42.9956397,-71.4547891
MI2,42.7875235,-86.1089301
MIA,25.7616798,-80.1917902
MIB,48.2329668,-101.2922906
MIE,40.1933767,-85.3863599
MIO,36.8745146,-94.8774554
MIQ,41.2565369,-95.9345034
MKC,39.0997265,-94.5785667
MKE,43.0389025,-87.9064736
MKG,43.2341813,-86.2483921
MKL,35.6145169,-88.8139469
MKT,44.1635775,-93.9993996
MLU,32.5093109,-92.1193012
MMI,35.4428512,-84.5929898
MML,44.448423,-95.7911916
MMT,34.0007104,-81.0348144
MNN,40.5886699,-83.1285242
MOB,30.6953657,-88.0398912
MOD,37.6390972,-120.9968782
MOP,43.5978075,-84.7675139
MOR,36.2139814,-83.2948922
MOT,48.2329668,-101.2922906
MPB,25.7616798,-80.1917902
MQJ,39.768403,-86.158068
MQT,46.5436199,-87.3953713
MRC,35.6150716,-87.0352831
MRI,61.2180556,-149.9002778
MS1,33.7516314,-89.8130356
MSN,43.0730517,-89.4012302
MSO,46.8721284,-113.9940314
MSP,44.977753,-93.2650108
MSY,29.9510658,-90.0715323
MTJ,38.4783198,-107.8761738
MTN,39.2903848,-76.6121893
MUO,43.1329504,-115.6911975
MVN,38.3172714,-88.9031201
MVW,48.4201105,-122.3374543
MWA,37.7306054,-88.9331256
MWH,47.1301417,-119.2780771
MXF,32.3792233,-86.3077368
MYF,32.715738,-117.1610838
MYR,33.6890603,-78.8866943
MZZ,40.5583739,-85.6591442
NBG,29.9510658,-90.0715323
NC3,35.2923513,-81.5356463
NEW,29.9510658,-90.0715323
NFL,39.4748693,-118.7770407
NIP,30.3321838,-81.655651
NJK,32.792,-115.5630514
NKX,32.715738,-117.1610838
NPA,30.421309,-87.2169149
NQA,35.1495343,-90.0489801
NQX,24.5550593,-81.7799871
NY3,42.4528571,-75.0637746
NZC,30.3321838,-81.655651
NZY,32.715738,-117.1610838
OAJ,34.7540524,-77.4302414
OAK,37.8043637,-122.2711137
OCF,29.1871986,-82.1400923
ODW,48.2882947,-122.6484205
OFF,41.2565369,-95.9345034
OFK,42.0327234,-97.4137553
OGD,41.223,-111.9738304
OGG,20.8893351,-156.4729469
OGS,44.6942291,-75.4863364
OH1,39.5364511,-83.4390843
OH2,40.3611643,-83.7596557
OH3,39.3331197,-82.9824019
OH5,39.1031182,-84.5120196
OKC,35.4675602,-97.5164276
OKK,40.486427,-86.1336033
OLM,47.0378741,-122.9006951
OLS,31.3403775,-110.9342532
OMA,41.2565369,-95.9345034
OPF,25.7616798,-80.1917902
ORD,41.8781136,-87.6297982
ORH,42.2625932,-71.8022934
ORL,28.5383355,-81.3792365
OSH,44.0247062,-88.5426136
OSU,39.9611755,-82.9987942
OTM,41.0160293,-92.4083022
OWA,44.0855572,-93.2259349
OWB,37.7719074,-87.1111676
OXR,34.1975048,-119.1770516
PAH,37.0833893,-88.6000478
PAM,30.1588129,-85.6602058
PBF,34.2284312,-92.0031955
PBG,44.6994873,-73.4529124
PBI,26.7153424,-80.0533746
PDK,33.7489954,-84.3879824
PDT,45.672075,-118.7885967
PDX,45.5122308,-122.6587185
PFN,30.1588129,-85.6602058
PGD,26.9297836,-82.0453664
PGV,35.612661,-77.3663538
PHL,39.9525839,-75.1652215
PHT,36.3020023,-88.3267107
PHX,33.4483771,-112.0740373
PIA,40.6936488,-89.5889864
PIB,31.3271189,-89.2903392
PIH,42.8621042,-112.4506191
PIR,44.3667876,-100.3537522
PIT,40.4406248,-79.9958864
PKB,39.2667418,-81.5615135
PMH,38.7317431,-82.9976742
PNC,36.706981,-97.0855948
PNE,39.9525839,-75.1652215
PNS,30.421309,-87.2169149
POB,35.0526641,-78.8783585
POU,41.7003713,-73.9209701
PRB,35.2827524,-120.6596156
PRC,34.5400242,-112.4685025
PSF,42.4500845,-73.2453824
PUB,38.2544472,-104.6091409
PUC,39.5994095,-110.8107148
PUW,46.7297771,-117.1817377
PVD,41.8239891,-71.4128343
PVU,40.2338438,-111.6585337
PWA,35.4675602,-97.5164276
PWK,41.8781136,-87.6297982
PWM,43.6590993,-70.2568189
PWT,47.5650067,-122.6269768
RAP,44.0805434,-103.2310149
RBG,43.216505,-123.3417381
RCA,44.0805434,-103.2310149
RDD,40.5865396,-122.3916754
RDG,40.3356483,-75.9268747
RDM,44.0581728,-121.3153096
RDU,35.7795897,-78.6381787
RFD,42.2711311,-89.0939952
RIC,37.5407246,-77.4360481
RID,39.8289369,-84.8902382
RIV,33.9806005,-117.3754942
RIW,43.024673,-108.3806054
RKD,44.1036914,-69.1089293
RKS,41.5874644,-109.2029043
RMG,34.257038,-85.1646726
RND,29.4241219,-98.4936282
RNO,39.5296329,-119.8138027
ROA,37.2709704,-79.9414266
ROC,43.1565779,-77.6088465
ROW,33.3942655,-104.5230242
RST,44.0121221,-92.4801989
RUI,33.3672525,-105.6588485
RUT,43.6106237,-72.9726065
RWI,35.9382103,-77.7905339
S27,48.1919889,-114.316813
SAC,38.5815719,-121.4943996
SAD,32.8339546,-109.70758
SAF,35.6869752,-105.937799
SAN,32.715738,-117.1610838
SAT,29.4241219,-98.4936282
SAV,32.0808989,-81.091203
SAW,46.5436199,-87.3953713
SBA,34.4208305,-119.6981901
SBM,43.7508284,-87.71453
SBN,41.6763545,-86.2519898
SBP,35.2827524,-120.6596156
SBY,38.3606736,-75.5993692
SCE,40.7933949,-77.8600012
SCF,33.4483771,-112.0740373
SCK,37.9577016,-121.2907796
SDM,32.715738,-117.1610838
SEA,47.6062095,-122.3320708
SEE,32.715738,-117.1610838
SEM,32.4073589,-87.0211007
SER,38.9592201,-85.8902547
SFB,28.5383355,-81.3792365
SFF,47.6587802,-117.4260465
SFO,37.7749295,-122.4194155
SGF,37.2089572,-93.2922989
SGH,39.9242266,-83.8088171
SGU,37.0965278,-113.5684164
SHD,38.149576,-79.0716958
SHN,47.2150945,-123.1007066
SHR,44.7971939,-106.9561791
SHV,32.5251516,-93.7501789
SIK,36.876719,-89.5878579
SJC,37.3382082,-121.8863286
SJT,31.4637723,-100.4370375
SKA,47.6587802,-117.4260465
SKF,29.4241219,-98.4936282
SKY,41.4561754,-82.7116821
SLB,42.6430359,-95.2019399
SLC,40.7607793,-111.8910474
SLE,44.9428975,-123.0350963
SLN,38.8402805,-97.6114237
SMF,38.5815719,-121.4943996
SNA,33.7454725,-117.867653
SOW,34.2542084,-110.0298327
SPA,34.9495672,-81.9320482
SPI,39.7817213,-89.6501481
SPS,33.9137085,-98.4933873
SQI,41.788642,-89.6962194
SRC,35.2468204,-91.7336846
SRW,35.6709727,-80.4742261
SSC,33.9204354,-80.3414693
SSI,31.1499528,-81.4914894
STC,45.5579451,-94.1632404
STF,33.4503998,-88.8183872
STJ,39.7674578,-94.846681
STL,38.6270025,-90.1994042
STP,44.977753,-93.2650108
STS,38.440429,-122.7140548
SUM,33.9204354,-80.3414693
SUS,38.6270025,-90.1994042
SUX,42.4963416,-96.4049408
SVC,32.770075,-108.280326
SVH,35.7826363,-80.8872959
SVN,32.0808989,-81.091203
SWO,36.1156071,-97.0583681
SWW,32.4709519,-100.4059384
SYI,35.483406,-86.4602717
SYR,43.0481221,-76.1474244
SZL,38.7627893,-93.7360498
TBN,37.7252315,-92.1646722
TBR,32.4487876,-81.7831674
TCL,33.2098407,-87.5691735
TCM,47.2528768,-122.4442906
TDZ,41.6528052,-83.5378674
THA,35.3620235,-86.2094342
THV,39.9625984,-76.727745
TIK,35.4675602,-97.5164276
TIW,47.2528768,-122.4442906
TKF,39.327962,-120.1832533
TLH,30.4382559,-84.2807329
TMA,31.4504629,-83.5084973
TMB,25.7616798,-80.1917902
TN3,35.4492404,-86.7888887
TN6,36.0345159,-89.3856281
TNT,25.7616798,-80.1917902
TOL,41.6528052,-83.5378674
TPA,27.950575,-82.4571776
TSM,36.4072485,-105.5730665
TSS,40.7127753,-74.0059728
TTN,40.2205824,-74.759717
TUL,36.1539816,-95.992775
TUP,34.2576066,-88.7033859
TUS,32.2226066,-110.9747108
TVC,44.7630567,-85.6206317
TWF,42.5558381,-114.4700518
TX6,30.267153,-97.7430608
TYR,32.3512601,-95.3010624
TYS,35.9606384,-83.9207392
UBS,33.4956744,-88.4272627
UCA,43.100903,-75.232664
UCY,36.4242303,-89.0570096
UIN,39.9356016,-91.4098726
UKI,39.1501709,-123.2077831
UVA,29.2096836,-99.7861679
VAD,30.8327022,-83.2784851
VCT,28.8052674,-97.0035982
VEL,40.4555157,-109.5287479
VGT,36.1699412,-115.1398296
VIS,36.3302284,-119.2920585
VLD,30.8327022,-83.2784851
VWD,36.3274502,-119.6456844
VWH,31.9973456,-102.0779146
VWL,47.471573,-94.8826861
VWT,32.0723861,-84.2326876
WBR,43.6980782,-85.4836557
WDG,36.3955891,-97.8783911
WFB,55.3422222,-131.6461112
WGO,39.1856597,-78.1633341
WMH,36.3353949,-92.381346
WQM,30.2265949,-93.2173758
WRB,32.8406946,-83.6324022
WTC,40.7127753,-74.0059728
WV1,38.3498195,-81.6326234
XNA,36.082156,-94.1718542
XXW,30.1896756,-82.6392899
YIP,42.331427,-83.0457538
YKM,46.6020711,-120.5058987
YKN,42.8711088,-97.3972813
YNG,41.0997803,-80.6495194
YUM,32.6926512,-114.6276916
ZZV,39.9403453,-82.0131924